Mottaker/gjelder;Kontonr;BK;Ytelsetype;Nav utb;NAV beh;"Utbet.reskontro Postert";"Utbet. reskontro Bilagsserie";"Utbet. reskontro Bilagsnummer";Beløp;D/K;Giro-/Kort- Sjekknr;Status;Utb. Fom;Utb. Tom;Grad;Valutert;Forsystem Postert;Gjelder Bilag;Ssutbet; Utbetalings netto beløp ;D/K;Posteringskonto navn
00000000001;0512100;0;Skatt;4819;4402;04/05/2023;10;731 348 267;5 150,00;K;47785610381;18;01/05/2023;31/05/2023;100;15/05/2023;02/05/2023;;; 27 039,00 ;D;Svalbardskatt
00000000001;0844000;0;Skyldnerkonto;4819;4402;04/05/2023;10;731 348 267;27 039,00;K;47785610381;18;;;0;15/05/2023;;;;;;Skyldnerkonto
00000000001;0844000;0;Skyldnerkonto;8020;8020;23/05/2023;10;733 740 504;3 572,00;K;47785610381;10;;;;;;;;;;Skyldnerkonto
00000000001;4061000;2;Uføretrygd;4819;4402;04/05/2023;10;731 348 267;32 189,00;D;47785610381;18;01/05/2023;31/05/2023;100;15/05/2023;02/05/2023;;; 27 039,00 ;D;Uføretrygd
00000000001;8000010;1;Barnetrygd;8020;8020;23/05/2023;10;733 740 504;1 083,00;D;47785610381;10;01/05/2023;31/05/2023;0;;19/05/2023;;; 3 572,00 ;D;Barnetrygd ordinær
00000000001;8000010;1;Barnetrygd;8020;8020;23/05/2023;10;733 740 504;2 489,00;D;47785610381;10;01/05/2023;31/05/2023;0;;19/05/2023;;; 3 572,00 ;D;Barnetrygd ordinær
00000000002;0510000;0;Skatt;4819;4411;08/07/2022;10;705 023 953;11159;K;33352655185;18;01/07/2022;31/07/2022;100;19/07/2022;06/07/2022;;; 21 662,00 ;D;Forskuddskatt
00000000002;0510099;0;Skatt;4819;4819;31/05/2022;10;701 934 060;166;K;33352655185;18;01/01/2020;31/01/2020;0;01/06/2022;31/05/2022;;; 4 459,00 ;D;Frivillig skattetrekk
00000000002;0510099;0;Skatt;4819;4819;31/05/2022;10;701 934 060;166;K;33352655185;18;01/02/2020;29/02/2020;0;01/06/2022;31/05/2022;;; 4 459,00 ;D;Frivillig skattetrekk
00000000002;0510099;0;Skatt;4819;4819;31/05/2022;10;701 934 060;166;K;33352655185;18;01/03/2020;31/03/2020;0;01/06/2022;31/05/2022;;; 4 459,00 ;D;Frivillig skattetrekk
